event_id,timestamp,source_ip,destination_ip,source_port,destination_port,protocol,tcp_flags,action,username,auth_result,dns_query,http_status,redirect_domain,bytes_sent
EVT-00035,2026-09-01T08:01:08+00:00,10.0.3.231,172.16.0.24,20454,3389,TCP,ACK,allowed,,,,,,2436
EVT-00036,2026-09-01T08:01:10+00:00,10.0.16.132,172.16.0.12,36562,53,DNS,,allowed,,,intranet.example,,,3663
EVT-00037,2026-09-01T08:01:12+00:00,10.0.12.99,172.16.0.72,53609,80,HTTP,,allowed,,,,200,,2780
EVT-00038,2026-09-01T08:01:14+00:00,10.0.10.249,172.16.0.53,14134,53,TCP,ACK,allowed,jsmith,success,,,,1834
EVT-00039,2026-09-01T08:01:16+00:00,10.0.5.96,172.16.0.27,59565,443,HTTP,,allowed,,,,200,,2696
EVT-00040,2026-09-01T08:01:18+00:00,10.0.11.6,172.16.0.50,10474,80,HTTP,,allowed,,,,200,,5712
EVT-00041,2026-09-01T08:01:20+00:00,10.0.14.246,172.16.0.49,55895,445,TCP,ACK,allowed,admin,,,,,6719
EVT-00042,2026-09-01T08:01:22+00:00,10.0.9.69,172.16.0.14,64554,3389,TCP,ACK,allowed,admin,success,,,,1319
EVT-00043,2026-09-01T08:01:24+00:00,10.0.18.9,172.16.0.48,42677,80,HTTP,,allowed,,,,200,,1028
EVT-00044,2026-09-01T08:01:26+00:00,10.0.3.93,172.16.0.31,23526,80,HTTP,,allowed,,,,200,,1831
EVT-00045,2026-09-01T08:01:28+00:00,10.0.11.85,172.16.0.13,19470,53,TCP,SYN,allowed,jsmith,,,,,556
EVT-00046,2026-09-01T08:01:30+00:00,10.0.8.209,172.16.0.9,25322,445,ICMP,,allowed,,,,,,7459
EVT-00047,2026-09-01T08:01:32+00:00,10.0.17.96,172.16.0.38,49280,53,TCP,ACK,allowed,service_backup,,,,,3491
EVT-00048,2026-09-01T08:01:34+00:00,10.0.16.245,172.16.0.31,40969,53,TCP,ACK,allowed,,,,,,2538
EVT-00049,2026-09-01T08:01:36+00:00,10.0.18.231,172.16.0.62,29185,80,ICMP,,allowed,,,,,,2081
EVT-00050,2026-09-01T08:01:38+00:00,10.0.3.41,172.16.0.38,65206,443,ICMP,,allowed,,,,,,5397
EVT-00051,2026-09-01T08:01:40+00:00,10.0.14.196,172.16.0.15,48990,445,TCP,SYN,allowed,,,,,,1081
EVT-00052,2026-09-01T08:01:42+00:00,10.0.15.186,172.16.0.74,55343,443,HTTP,,allowed,,,,200,,4616
EVT-00053,2026-09-01T08:01:44+00:00,10.0.12.107,172.16.0.42,27633,3389,TCP,ACK,allowed,analyst,success,,,,2780
EVT-00054,2026-09-01T08:01:46+00:00,10.0.3.184,172.16.0.11,25925,22,TCP,ACK,allowed,,,,,,2090
EVT-00055,2026-09-01T08:01:48+00:00,10.0.3.65,172.16.0.68,22242,53,DNS,,allowed,,,intranet.example,,,1006
EVT-00056,2026-09-01T08:01:50+00:00,10.0.15.159,172.16.0.70,7035,443,UDP,,allowed,,,,,,5622
EVT-00057,2026-09-01T08:01:52+00:00,10.0.8.6,172.16.0.37,16254,53,DNS,,allowed,,,intranet.example,,,1499
EVT-00058,2026-09-01T08:01:54+00:00,10.0.16.65,172.16.0.13,51460,22,TCP,SYN,allowed,,,,,,1607
EVT-00059,2026-09-01T08:01:56+00:00,10.0.6.4,172.16.0.22,22269,3389,TCP,SYN,allowed,jsmith,,,,,6131
EVT-00060,2026-09-01T08:01:58+00:00,10.0.7.229,172.16.0.45,1574,3389,TCP,ACK,allowed,,success,,,,576
EVT-00061,2026-09-01T08:02:00+00:00,10.0.5.38,172.16.0.80,1204,80,TCP,ACK,allowed,admin,,,,,1275
EVT-00062,2026-09-01T08:02:02+00:00,10.0.12.132,172.16.0.77,36849,53,UDP,,allowed,,,,,,5276
EVT-00063,2026-09-01T08:02:04+00:00,10.0.11.230,172.16.0.17,56465,53,UDP,,allowed,,,,,,3062
EVT-00064,2026-09-01T08:02:06+00:00,10.0.9.198,172.16.0.77,7986,22,ICMP,,allowed,,,,,,389
EVT-00065,2026-09-01T08:02:08+00:00,10.0.14.219,172.16.0.41,36355,53,DNS,,allowed,,,intranet.example,,,321
EVT-00066,2026-09-01T08:02:10+00:00,10.0.17.170,172.16.0.58,44950,53,DNS,,allowed,,,intranet.example,,,5215
EVT-00067,2026-09-01T08:02:12+00:00,10.0.2.184,172.16.0.12,65370,22,TCP,SYN,allowed,,success,,,,7748
EVT-00068,2026-09-01T08:02:14+00:00,10.0.20.207,172.16.0.60,44145,53,DNS,,allowed,,,intranet.example,,,4391
EVT-00069,2026-09-01T08:02:16+00:00,10.0.4.131,172.16.0.37,11829,80,TCP,SYN,allowed,,,,,,7372
EVT-00070,2026-09-01T08:02:18+00:00,10.0.11.74,172.16.0.75,57515,80,TCP,ACK,allowed,,,,,,3467
EVT-00071,2026-09-01T08:02:20+00:00,10.0.15.152,172.16.0.59,60724,53,DNS,,allowed,,,intranet.example,,,2938
EVT-00072,2026-09-01T08:02:22+00:00,10.0.15.163,172.16.0.56,31784,3389,TCP,ACK,allowed,,,,,,2787
EVT-00073,2026-09-01T08:02:24+00:00,10.0.18.194,172.16.0.67,56231,445,UDP,,allowed,,,,,,106
EVT-00074,2026-09-01T08:02:26+00:00,10.0.11.95,172.16.0.72,1851,22,TCP,ACK,blocked,analyst,success,,,,1474
EVT-00075,2026-09-01T08:02:28+00:00,10.0.16.231,172.16.0.6,22669,22,TCP,ACK,allowed,jsmith,,,,,1389
EVT-00076,2026-09-01T08:02:30+00:00,10.0.2.128,172.16.0.14,44742,53,UDP,,allowed,,,,,,2779
EVT-00077,2026-09-01T08:02:32+00:00,10.0.15.135,172.16.0.50,6745,443,UDP,,allowed,,,,,,7170
EVT-00078,2026-09-01T08:02:34+00:00,10.0.16.70,172.16.0.32,1171,53,DNS,,allowed,,,intranet.example,,,3736
EVT-00079,2026-09-01T08:02:36+00:00,10.0.13.146,172.16.0.70,61418,53,TCP,ACK,allowed,jsmith,,,,,2430
EVT-00080,2026-09-01T08:02:38+00:00,10.0.9.176,172.16.0.69,23335,445,TCP,ACK,allowed,jsmith,,,,,5024
EVT-00081,2026-09-01T08:02:40+00:00,10.0.11.230,172.16.0.7,26076,22,TCP,SYN,allowed,,,,,,5200
EVT-00082,2026-09-01T08:02:42+00:00,10.0.8.235,172.16.0.9,44020,53,DNS,,allowed,,,intranet.example,,,4734
EVT-00083,2026-09-01T08:02:44+00:00,10.0.1.240,172.16.0.71,47510,80,TCP,ACK,allowed,jsmith,,,,,7754
EVT-00084,2026-09-01T08:02:46+00:00,10.0.11.216,172.16.0.70,26325,443,TCP,SYN,allowed,,,,,,1149
EVT-00085,2026-09-01T08:02:48+00:00,10.0.11.112,172.16.0.36,40605,3389,TCP,ACK,allowed,admin,success,,,,4726
EVT-00086,2026-09-01T08:02:50+00:00,10.0.14.171,172.16.0.7,63218,22,UDP,,allowed,,,,,,354
EVT-00087,2026-09-01T08:02:52+00:00,10.0.1.90,172.16.0.40,1163,53,TCP,ACK,allowed,admin,,,,,588
EVT-00088,2026-09-01T08:02:54+00:00,10.0.10.145,172.16.0.31,19859,3389,TCP,ACK,allowed,,,,,,2441
EVT-00089,2026-09-01T08:02:56+00:00,10.0.1.11,172.16.0.57,31814,443,HTTP,,allowed,,,,200,,2387
EVT-00090,2026-09-01T08:02:58+00:00,10.0.4.191,172.16.0.76,10964,3389,TCP,ACK,allowed,service_backup,,,,,4279
EVT-00091,2026-09-01T08:03:00+00:00,10.0.11.149,172.16.0.47,52932,443,HTTP,,allowed,,,,404,,4318
EVT-00092,2026-09-01T08:03:02+00:00,10.0.13.60,172.16.0.28,52233,443,TCP,ACK,allowed,jsmith,,,,,517
EVT-00093,2026-09-01T08:03:04+00:00,10.0.17.168,172.16.0.3,6930,80,TCP,ACK,allowed,jsmith,,,,,6725
EVT-00094,2026-09-01T08:03:06+00:00,10.0.15.213,172.16.0.43,2506,53,DNS,,allowed,,,intranet.example,,,4543
EVT-00095,2026-09-01T08:03:08+00:00,10.0.12.171,172.16.0.43,25558,53,TCP,ACK,allowed,jsmith,success,,,,3098
EVT-00096,2026-09-01T08:03:10+00:00,10.0.15.183,172.16.0.2,46731,445,TCP,SYN,allowed,service_backup,success,,,,2453
EVT-00097,2026-09-01T08:03:12+00:00,10.0.5.224,172.16.0.71,60702,53,DNS,,allowed,,,intranet.example,,,3296
EVT-00098,2026-09-01T08:03:14+00:00,10.0.20.246,172.16.0.18,7666,443,TCP,ACK,allowed,,,,,,3526
EVT-00099,2026-09-01T08:03:16+00:00,10.0.3.131,172.16.0.40,31089,80,UDP,,allowed,,,,,,3017
EVT-00100,2026-09-01T08:03:18+00:00,10.0.3.239,172.16.0.17,41869,3389,TCP,ACK,allowed,jsmith,success,,,,3277
EVT-00113,2026-09-01T08:03:44+00:00,10.0.13.106,172.16.0.4,4753,445,TCP,ACK,allowed,service_backup,,,,,1005
EVT-00114,2026-09-01T08:03:46+00:00,10.0.10.191,172.16.0.13,37512,443,UDP,,allowed,,,,,,7036
EVT-00115,2026-09-01T08:03:48+00:00,10.0.6.87,172.16.0.13,59349,22,UDP,,allowed,,,,,,5612
EVT-00116,2026-09-01T08:03:50+00:00,10.0.4.194,172.16.0.37,36417,53,DNS,,allowed,,,intranet.example,,,4421
EVT-00117,2026-09-01T08:03:52+00:00,10.0.3.182,172.16.0.61,15576,3389,UDP,,allowed,,,,,,272
EVT-00118,2026-09-01T08:03:54+00:00,10.0.18.171,172.16.0.31,64723,53,DNS,,allowed,,,intranet.example,,,1809
EVT-00119,2026-09-01T08:03:56+00:00,10.0.2.63,172.16.0.75,17510,445,TCP,SYN,allowed,service_backup,,,,,80
EVT-00120,2026-09-01T08:03:58+00:00,10.0.7.25,172.16.0.46,52395,53,DNS,,allowed,,,intranet.example,,,1978
EVT-00121,2026-09-01T08:04:00+00:00,10.0.20.75,172.16.0.16,18198,53,TCP,ACK,allowed,analyst,success,,,,4978
EVT-00122,2026-09-01T08:04:02+00:00,10.0.20.80,172.16.0.29,39955,443,TCP,ACK,allowed,analyst,,,,,304
EVT-00123,2026-09-01T08:04:04+00:00,10.0.12.83,172.16.0.73,36236,53,DNS,,allowed,,,intranet.example,,,440
EVT-00124,2026-09-01T08:04:06+00:00,10.0.14.168,172.16.0.32,57549,22,TCP,ACK,allowed,jsmith,,,,,324
EVT-00125,2026-09-01T08:04:08+00:00,10.0.4.163,172.16.0.23,19081,53,UDP,,allowed,,,,,,6621
EVT-00126,2026-09-01T08:04:10+00:00,10.0.14.141,172.16.0.15,36324,445,UDP,,allowed,,,,,,5053
EVT-00127,2026-09-01T08:04:12+00:00,10.0.20.131,172.16.0.23,16831,3389,ICMP,,allowed,,,,,,6478
EVT-00128,2026-09-01T08:04:14+00:00,10.0.2.237,172.16.0.57,25270,53,DNS,,allowed,,,intranet.example,,,5577
EVT-00129,2026-09-01T08:04:16+00:00,10.0.17.120,172.16.0.58,36356,53,TCP,ACK,allowed,jsmith,success,,,,4978
EVT-00130,2026-09-01T08:04:18+00:00,10.0.17.242,172.16.0.8,31094,443,TCP,ACK,allowed,admin,,,,,991
EVT-00131,2026-09-01T08:04:20+00:00,10.0.4.23,172.16.0.30,39532,80,TCP,ACK,allowed,admin,failure,,,,4849
EVT-00132,2026-09-01T08:04:22+00:00,10.0.19.141,172.16.0.39,30276,22,UDP,,allowed,,,,,,565
EVT-00133,2026-09-01T08:04:24+00:00,10.0.19.195,172.16.0.60,26471,443,TCP,ACK,allowed,analyst,,,,,7486
EVT-00134,2026-09-01T08:04:26+00:00,10.0.4.208,172.16.0.4,50888,3389,TCP,SYN,allowed,jsmith,,,,,6931
EVT-00135,2026-09-01T08:04:28+00:00,10.0.19.148,172.16.0.41,10261,3389,TCP,ACK,allowed,,success,,,,7771
EVT-00136,2026-09-01T08:04:30+00:00,10.0.1.222,172.16.0.63,59413,53,UDP,,allowed,,,,,,1593
EVT-00137,2026-09-01T08:04:32+00:00,10.0.20.18,172.16.0.22,21541,445,TCP,ACK,allowed,,,,,,7741
EVT-00138,2026-09-01T08:04:34+00:00,10.0.18.250,172.16.0.56,23323,443,HTTP,,allowed,,,,404,,222
EVT-00139,2026-09-01T08:04:36+00:00,10.0.4.153,172.16.0.56,29138,3389,UDP,,allowed,,,,,,426
EVT-00140,2026-09-01T08:04:38+00:00,10.0.6.151,172.16.0.44,16012,53,TCP,ACK,allowed,service_backup,,,,,5235
EVT-00141,2026-09-01T08:04:40+00:00,10.0.7.3,172.16.0.59,44299,53,DNS,,allowed,,,intranet.example,,,1302
EVT-00142,2026-09-01T08:04:42+00:00,10.0.16.151,172.16.0.58,3179,443,TCP,ACK,allowed,analyst,success,,,,1147
EVT-00143,2026-09-01T08:04:44+00:00,10.0.14.250,172.16.0.53,40650,3389,TCP,ACK,allowed,analyst,,,,,2370
EVT-00144,2026-09-01T08:04:46+00:00,10.0.17.68,172.16.0.17,29695,53,TCP,ACK,allowed,admin,,,,,5072
EVT-00145,2026-09-01T08:04:48+00:00,10.0.15.192,172.16.0.45,24653,443,TCP,ACK,allowed,,,,,,734
EVT-00146,2026-09-01T08:04:50+00:00,10.0.3.190,172.16.0.39,49322,53,TCP,ACK,allowed,admin,,,,,6019
EVT-00147,2026-09-01T08:04:52+00:00,10.0.15.154,172.16.0.19,13277,80,UDP,,allowed,,,,,,7680
EVT-00148,2026-09-01T08:04:54+00:00,10.0.6.102,172.16.0.54,30297,80,HTTP,,allowed,,,,200,,5224
EVT-00149,2026-09-01T08:04:56+00:00,10.0.14.173,172.16.0.10,35919,53,UDP,,allowed,,,,,,5795
EVT-00150,2026-09-01T08:04:58+00:00,10.0.15.45,172.16.0.41,34861,445,UDP,,allowed,,,,,,327
EVT-00151,2026-09-01T08:05:00+00:00,10.0.4.121,172.16.0.61,42340,53,UDP,,allowed,,,,,,5485
EVT-00152,2026-09-01T08:05:02+00:00,10.0.7.214,172.16.0.75,6085,22,TCP,ACK,allowed,analyst,,,,,4055
EVT-00153,2026-09-01T08:05:04+00:00,10.0.17.235,172.16.0.26,12057,443,HTTP,,allowed,,,,404,,256
EVT-00154,2026-09-01T08:05:06+00:00,10.0.11.237,172.16.0.32,51797,443,UDP,,allowed,,,,,,3236
EVT-00155,2026-09-01T08:05:08+00:00,10.0.12.172,172.16.0.23,30019,443,ICMP,,allowed,,,,,,3290
EVT-00156,2026-09-01T08:05:10+00:00,10.0.15.250,172.16.0.3,22628,53,UDP,,allowed,,,,,,1755
EVT-00157,2026-09-01T08:05:12+00:00,10.0.15.234,172.16.0.22,1842,53,TCP,ACK,blocked,,,,,,7217
EVT-00158,2026-09-01T08:05:14+00:00,10.0.5.149,172.16.0.79,63762,443,HTTP,,allowed,,,,200,,7776
EVT-00159,2026-09-01T08:05:16+00:00,10.0.5.232,172.16.0.29,15443,80,UDP,,allowed,,,,,,1828
EVT-00160,2026-09-01T08:05:18+00:00,10.0.20.210,172.16.0.54,14526,443,HTTP,,blocked,,,,404,,3436
EVT-00161,2026-09-01T08:05:20+00:00,10.0.19.73,172.16.0.55,56434,80,UDP,,allowed,,,,,,5836
EVT-00162,2026-09-01T08:05:22+00:00,10.0.6.149,172.16.0.25,16429,3389,TCP,ACK,allowed,analyst,,,,,1503
EVT-00163,2026-09-01T08:05:24+00:00,10.0.3.13,172.16.0.40,48200,445,TCP,SYN,allowed,,,,,,4972
EVT-00164,2026-09-01T08:05:26+00:00,10.0.19.172,172.16.0.59,62677,445,UDP,,allowed,,,,,,4519
EVT-00165,2026-09-01T08:05:28+00:00,10.0.17.212,172.16.0.66,59530,443,UDP,,allowed,,,,,,2697
EVT-00166,2026-09-01T08:05:30+00:00,10.0.10.144,172.16.0.52,44313,53,DNS,,allowed,,,intranet.example,,,6149
EVT-00167,2026-09-01T08:05:32+00:00,10.0.15.189,172.16.0.20,2422,53,DNS,,allowed,,,intranet.example,,,1537
EVT-00168,2026-09-01T08:05:34+00:00,10.0.17.128,172.16.0.41,47650,22,TCP,ACK,allowed,analyst,,,,,5609
EVT-00169,2026-09-01T08:05:36+00:00,10.0.10.95,172.16.0.76,30623,53,DNS,,allowed,,,intranet.example,,,784
EVT-00170,2026-09-01T08:05:38+00:00,10.0.17.229,172.16.0.21,7979,443,HTTP,,allowed,,,,200,,1853
EVT-00171,2026-09-01T08:05:40+00:00,10.0.12.117,172.16.0.56,9571,53,TCP,ACK,allowed,admin,,,,,3998
EVT-00172,2026-09-01T08:05:42+00:00,10.0.13.23,172.16.0.46,32444,53,DNS,,allowed,,,intranet.example,,,4738
EVT-00173,2026-09-01T08:05:44+00:00,10.0.2.80,172.16.0.64,5918,80,UDP,,allowed,,,,,,815
EVT-00174,2026-09-01T08:05:46+00:00,10.0.1.44,172.16.0.10,44917,443,HTTP,,allowed,,,,200,,7576
EVT-00175,2026-09-01T08:05:48+00:00,10.0.18.145,172.16.0.5,63392,445,TCP,SYN,allowed,service_backup,,,,,6992
EVT-00176,2026-09-01T08:05:50+00:00,10.0.3.147,172.16.0.55,49624,3389,TCP,ACK,allowed,jsmith,success,,,,5466
EVT-00177,2026-09-01T08:05:52+00:00,10.0.9.13,172.16.0.36,8055,445,ICMP,,allowed,,,,,,6281
EVT-00178,2026-09-01T08:05:54+00:00,10.0.15.22,172.16.0.56,14479,80,HTTP,,allowed,,,,200,,4722
EVT-00179,2026-09-01T08:05:56+00:00,10.0.15.102,172.16.0.4,44142,53,DNS,,allowed,,,intranet.example,,,7116
EVT-00180,2026-09-01T08:05:58+00:00,10.0.2.223,172.16.0.61,22396,22,TCP,ACK,blocked,,,,,,4408
EVT-00181,2026-09-01T08:06:00+00:00,10.0.3.10,172.16.0.42,5735,53,DNS,,allowed,,,intranet.example,,,2607
EVT-00182,2026-09-01T08:06:02+00:00,10.0.13.50,172.16.0.6,37455,445,TCP,ACK,allowed,,success,,,,3617
EVT-00183,2026-09-01T08:06:04+00:00,10.0.16.207,172.16.0.22,27568,443,HTTP,,allowed,,,,404,,424
EVT-00184,2026-09-01T08:06:06+00:00,10.0.6.146,172.16.0.51,51033,445,TCP,ACK,allowed,jsmith,,,,,3790
EVT-00185,2026-09-01T08:06:08+00:00,10.0.5.136,172.16.0.12,51009,3389,TCP,ACK,allowed,analyst,,,,,1331
EVT-00186,2026-09-01T08:06:10+00:00,10.0.11.154,172.16.0.50,11794,53,TCP,ACK,allowed,admin,,,,,2791
EVT-00187,2026-09-01T08:06:12+00:00,10.0.18.177,172.16.0.71,33958,53,UDP,,allowed,,,,,,6183
EVT-00188,2026-09-01T08:06:14+00:00,10.0.4.132,172.16.0.61,3611,53,TCP,ACK,allowed,admin,,,,,1852
EVT-00189,2026-09-01T08:06:16+00:00,10.0.8.44,172.16.0.6,11802,53,UDP,,allowed,,,,,,2618
EVT-00190,2026-09-01T08:06:18+00:00,10.0.6.145,172.16.0.13,11003,53,DNS,,allowed,,,intranet.example,,,2031
EVT-00191,2026-09-01T08:06:20+00:00,10.0.2.35,172.16.0.58,21245,80,TCP,ACK,blocked,jsmith,,,,,7418
EVT-00192,2026-09-01T08:06:22+00:00,10.0.17.138,172.16.0.36,65242,443,HTTP,,allowed,,,,200,,5986
EVT-00193,2026-09-01T08:06:24+00:00,10.0.2.107,172.16.0.16,52225,53,TCP,SYN,allowed,service_backup,,,,,6685
EVT-00194,2026-09-01T08:06:26+00:00,10.0.14.66,172.16.0.63,40433,445,TCP,SYN,allowed,admin,,,,,2929
EVT-00195,2026-09-01T08:06:28+00:00,10.0.3.55,172.16.0.59,10265,53,DNS,,allowed,,,intranet.example,,,7107
EVT-00196,2026-09-01T08:06:30+00:00,10.0.4.137,172.16.0.52,59946,445,TCP,ACK,allowed,,,,,,7769
EVT-00197,2026-09-01T08:06:32+00:00,10.0.20.174,172.16.0.23,61438,443,TCP,ACK,allowed,service_backup,,,,,4336
EVT-00198,2026-09-01T08:06:34+00:00,10.0.2.52,172.16.0.16,24061,53,DNS,,allowed,,,intranet.example,,,137
EVT-00199,2026-09-01T08:06:36+00:00,10.0.16.171,172.16.0.74,14392,445,ICMP,,allowed,,,,,,6292
EVT-00200,2026-09-01T08:06:38+00:00,10.0.15.105,172.16.0.53,48655,53,DNS,,allowed,,,intranet.example,,,2848
EVT-00201,2026-09-01T08:06:40+00:00,10.0.5.171,172.16.0.9,60907,3389,TCP,ACK,allowed,service_backup,,,,,642
EVT-00202,2026-09-01T08:06:42+00:00,10.0.17.25,172.16.0.74,54014,80,TCP,ACK,allowed,service_backup,,,,,7710
EVT-00203,2026-09-01T08:06:44+00:00,10.0.8.91,172.16.0.64,63174,80,HTTP,,allowed,,,,200,,7677
EVT-00204,2026-09-01T08:06:46+00:00,10.0.17.247,172.16.0.71,48343,53,DNS,,allowed,,,intranet.example,,,5361
EVT-00205,2026-09-01T08:06:48+00:00,10.0.4.231,172.16.0.60,39357,445,TCP,ACK,allowed,jsmith,,,,,1947
EVT-00206,2026-09-01T08:06:50+00:00,10.0.8.138,172.16.0.6,42242,443,UDP,,allowed,,,,,,3922
EVT-00207,2026-09-01T08:06:52+00:00,10.0.17.52,172.16.0.48,54259,445,TCP,SYN,allowed,jsmith,success,,,,4921
EVT-00208,2026-09-01T08:06:54+00:00,10.0.12.199,172.16.0.45,1244,53,DNS,,allowed,,,intranet.example,,,5389
EVT-00209,2026-09-01T08:06:56+00:00,10.0.15.81,172.16.0.47,15783,445,TCP,ACK,allowed,service_backup,,,,,5304
EVT-00210,2026-09-01T08:06:58+00:00,10.0.6.44,172.16.0.25,38816,443,TCP,ACK,allowed,jsmith,,,,,6683
EVT-00211,2026-09-01T08:07:00+00:00,10.0.11.85,172.16.0.27,46192,22,UDP,,allowed,,,,,,1554
EVT-00212,2026-09-01T08:07:02+00:00,10.0.14.247,172.16.0.52,32927,22,TCP,ACK,allowed,analyst,,,,,3800
EVT-00213,2026-09-01T08:07:04+00:00,10.0.6.58,172.16.0.43,62238,3389,TCP,ACK,allowed,jsmith,,,,,5377
EVT-00214,2026-09-01T08:07:06+00:00,10.0.11.205,172.16.0.76,61449,22,UDP,,allowed,,,,,,3119
EVT-00215,2026-09-01T08:07:08+00:00,10.0.4.111,172.16.0.2,41661,443,UDP,,allowed,,,,,,6984
EVT-00216,2026-09-01T08:07:10+00:00,10.0.11.115,172.16.0.77,45550,53,ICMP,,allowed,,,,,,4573
EVT-00217,2026-09-01T08:07:12+00:00,10.0.10.34,172.16.0.50,37988,80,HTTP,,allowed,,,,404,,4574
EVT-00218,2026-09-01T08:07:14+00:00,10.0.8.68,172.16.0.8,3412,443,TCP,ACK,allowed,service_backup,,,,,3899
EVT-00219,2026-09-01T08:07:16+00:00,10.0.11.151,172.16.0.53,47317,443,TCP,ACK,allowed,jsmith,,,,,4913
EVT-00220,2026-09-01T08:07:18+00:00,10.0.16.241,172.16.0.49,52500,53,DNS,,allowed,,,intranet.example,,,6102
EVT-00221,2026-09-01T08:07:20+00:00,10.0.18.191,172.16.0.69,49553,3389,TCP,ACK,allowed,jsmith,,,,,319
EVT-00222,2026-09-01T08:07:22+00:00,10.0.13.29,172.16.0.26,10657,80,HTTP,,allowed,,,,200,,7272
